RegOpenKeyExA, LoadLibraryW
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('RegOpenKeyExW';),102,66,36
('LoadLibraryA';),101,66,35
('GetProcAddress';),102,66,36
('RegOpenKeyExA';),102,66,36
('LocalAlloc';),65,37,28
('HeapAlloc';),65,37,28
('HeapFree';),65,37,28
('IsBadReadPtr';),65,37,28
('IsBadWritePtr';),65,37,28
('LocalFree';),65,37,28
('RegQueryValueExW';),100,66,34
('RegCloseKey';),100,66,34
('GetCurrentThread';),65,37,28
('GlobalAlloc';),63,35,28
('GlobalLock';),62,34,28
('GetCurrentThreadId';),65,37,28
('RegQueryValueW';),62,33,29
('GlobalUnlock';),62,34,28
('RegEnumKeyW';),62,34,28
('IsBadStringPtrW';),64,36,28
('GetCurrentProcessId';),65,37,28
('GlobalReAlloc';),61,33,28
('GlobalSize';),62,34,28
('GlobalFree';),63,35,28
('RegEnumValueW';),96,63,33
('GetEnvironmentVariableW';),65,37,28
('RegCreateKeyExW';),80,52,28
('LoadLibraryExW';),62,36,26
('RegSetValueExW';),64,36,28
('CreateProcessW';),61,33,28
('SetThreadPriority';),54,26,28
('OpenProcess';),50,22,28
('GetModuleFileNameW';),55,31,24
('ReadFile';),56,50,6
('LoadLibraryW';),102,66,36
('GetFileAttributesW';),36,36,0
('GetFullPathNameW';),36,36,0
('GetLongPathNameW';),35,35,0
('GetFileAttributesW'; 'GetCurrentThreadId'),0,0,0
('RegCloseKey'; 'LocalAlloc'),1,0,1
('HeapAlloc'; 'RegSetValueExW'),63,35,28
('RegEnumKeyW'; 'GlobalLock'),52,34,18
('GetFullPathNameW'; 'GetCurrentThreadId'),0,0,0
('HeapAlloc'; 'GlobalUnlock'),62,34,28
('HeapFree'; 'SetThreadPriority'),54,26,28
('HeapFree'; 'GetFileAttributesW'),36,36,0
('GetEnvironmentVariableW'; 'GetProcAddress'),52,32,20
('RegCreateKeyExW'; 'HeapFree'),0,0,0
('RegEnumValueW'; 'GetFullPathNameW'),35,35,0
('IsBadStringPtrW'; 'CreateProcessW'),60,32,28
('SetThreadPriority'; 'LocalFree'),0,0,0
('RegQueryValueW'; 'RegOpenKeyExW'),2,0,2
('LocalFree'; 'GetEnvironmentVariableW'),65,37,28
('GetFileAttributesW'; 'RegQueryValueExW'),1,1,0
('GlobalReAlloc'; 'CreateProcessW'),61,33,28
('GlobalUnlock'; 'LocalFree'),0,0,0
('RegOpenKeyExW'; 'LoadLibraryA'),95,62,33
('LocalFree'; 'CreateProcessW'),61,33,28
('RegEnumKeyW'; 'GlobalFree'),62,34,28
('GlobalAlloc'; 'RegQueryValueExW'),0,0,0
('HeapAlloc'; 'GetFullPathNameW'),36,36,0
('LocalAlloc'; 'GetProcAddress'),63,35,28
('HeapFree'; 'LoadLibraryA'),62,35,27
('IsBadWritePtr'; 'LocalFree'),46,35,11
('LocalFree'; 'RegEnumValueW'),65,37,28
('IsBadReadPtr'; 'LoadLibraryExW'),56,33,23
('GetLongPathNameW'; 'GetCurrentProcessId'),0,0,0
('HeapAlloc'; 'RegOpenKeyExA'),64,36,28
('GlobalFree'; 'SetThreadPriority'),54,26,28
('GlobalFree'; 'GetFileAttributesW'),33,33,0
('RegOpenKeyExW'; 'LocalAlloc'),1,0,1
('IsBadStringPtrW'; 'RegOpenKeyExW'),47,30,17
('HeapAlloc'; 'GetLongPathNameW'),35,35,0
('RegQueryValueExW'; 'LocalAlloc'),9,7,2
('GlobalReAlloc'; 'RegOpenKeyExW'),0,0,0
('RegSetValueExW'; 'RegQueryValueExW'),0,0,0
('HeapFree'; 'LocalAlloc'),38,31,7
('GetEnvironmentVariableW'; 'OpenProcess'),50,22,28
('GetLongPathNameW'; 'IsBadWritePtr'),1,1,0
('CreateProcessW'; 'LocalFree'),0,0,0
('RegOpenKeyExA'; 'RegCloseKey'),42,26,16
('GlobalFree'; 'LoadLibraryA'),48,33,15
('GetProcAddress'; 'RegQueryValueExW'),39,33,6
('IsBadReadPtr'; 'GetFullPathNameW'),35,35,0
('RegEnumKeyW'; 'RegCreateKeyExW'),57,30,27
('GlobalSize'; 'RegEnumValueW'),61,33,28
('RegEnumKeyW'; 'GlobalSize'),62,34,28
('GetLongPathNameW'; 'GetCurrentThread'),0,0,0
('GetCurrentProcessId'; 'GetCurrentProcessId'),0,0,0
('GetCurrentProcessId'; 'IsBadReadPtr'),2,2,0
('LocalAlloc'; 'OpenProcess'),50,22,28
('IsBadStringPtrW'; 'LocalFree'),18,10,8
('OpenProcess'; 'HeapAlloc'),0,0,0
('GlobalAlloc'; 'LoadLibraryExW'),51,31,20
('GetFileAttributesW'; 'RegSetValueExW'),2,2,0
('RegOpenKeyExA'; 'IsBadReadPtr'),7,3,4
('LocalFree'; 'LocalFree'),0,0,0
('GlobalReAlloc'; 'LocalFree'),0,0,0
('GetEnvironmentVariableW'; 'GlobalUnlock'),1,1,0
('GetFileAttributesW'; 'GlobalUnlock'),1,1,0
('RegCloseKey'; 'GlobalReAlloc'),61,33,28
('GlobalAlloc'; 'RegSetValueExW'),14,0,14
('GlobalFree'; 'LocalAlloc'),0,0,0
('LoadLibraryA'; 'GetCurrentProcessId'),15,3,12
('LocalAlloc'; 'HeapFree'),27,6,21
('GlobalUnlock'; 'GetProcAddress'),55,31,24
('GetCurrentProcessId'; 'IsBadWritePtr'),6,2,4
('GetFullPathNameW'; 'LocalFree'),0,0,0
('SetThreadPriority'; 'RegQueryValueExW'),0,0,0
('GlobalSize'; 'GetFileAttributesW'),33,33,0
('GetCurrentThread'; 'RegEnumValueW'),65,37,28
('GlobalUnlock'; 'RegQueryValueExW'),0,0,0
('GetEnvironmentVariableW'; 'GlobalFree'),2,2,0
('LocalAlloc'; 'GlobalLock'),62,34,28
('IsBadWritePtr'; 'GetProcAddress'),59,34,25
('RegCloseKey'; 'HeapFree'),3,2,1
('GetFileAttributesW'; 'GetFullPathNameW'),35,35,0
('RegEnumKeyW'; 'IsBadStringPtrW'),12,1,11
('RegCloseKey'; 'LoadLibraryW'),99,65,34
('RegSetValueExW'; 'RegSetValueExW'),0,0,0
('GlobalLock'; 'LoadLibraryExW'),50,30,20
('GlobalAlloc'; 'GetFullPathNameW'),34,34,0
('GetEnvironmentVariableW'; 'RegOpenKeyExA'),0,0,0
('RegSetValueExW'; 'GlobalUnlock'),48,34,14
('GetFileAttributesW'; 'RegOpenKeyExA'),0,0,0
('GetCurrentThread'; 'GetFileAttributesW'),36,36,0
('RegCloseKey'; 'GlobalLock'),62,34,28
('GlobalSize'; 'LoadLibraryA'),48,33,15
('GetCurrentProcessId'; 'GetCurrentThreadId'),1,1,0
('LocalAlloc'; 'GlobalFree'),63,35,28
('GetEnvironmentVariableW'; 'GetLongPathNameW'),35,35,0
('IsBadReadPtr'; 'RegEnumKeyW'),58,34,24
('RegCreateKeyExW'; 'HeapAlloc'),0,0,0
('GetFileAttributesW'; 'GetLongPathNameW'),35,35,0
('RegOpenKeyExA'; 'GetCurrentThreadId'),55,33,22
('HeapAlloc'; 'RegCloseKey'),65,37,28
('RegEnumValueW'; 'GetCurrentProcessId'),2,0,2
('LoadLibraryA'; 'GetCurrentThread'),2,2,0
('RegEnumValueW'; 'IsBadReadPtr'),1,1,0
('RegOpenKeyExW'; 'GlobalReAlloc'),61,33,28
('GetProcAddress'; 'RegSetValueExW'),7,3,4
('RegQueryValueW'; 'RegQueryValueExW'),5,2,3
('RegQueryValueExW'; 'GlobalReAlloc'),61,33,28
('LoadLibraryExW'; 'LoadLibraryA'),25,14,11
('GlobalUnlock'; 'RegQueryValueW'),4,0,4
('GlobalUnlock'; 'OpenProcess'),49,21,28
('GetCurrentThreadId'; 'SetThreadPriority'),54,26,28
('RegSetValueExW'; 'GetFullPathNameW'),34,34,0
('CreateProcessW'; 'RegQueryValueExW'),0,0,0
('HeapFree'; 'GlobalReAlloc'),61,33,28
('GlobalSize'; 'LocalAlloc'),0,0,0
('GlobalUnlock'; 'GlobalAlloc'),0,0,0
('RegEnumValueW'; 'IsBadWritePtr'),2,1,1
('HeapAlloc'; 'IsBadReadPtr'),54,36,18
('GetCurrentThread'; 'LoadLibraryA'),62,35,27
('RegQueryValueExW'; 'OpenProcess'),49,21,28
('GetCurrentProcessId'; 'GetEnvironmentVariableW'),63,35,28
('GetCurrentProcessId'; 'CreateProcessW'),61,33,28
('RegOpenKeyExW'; 'HeapFree'),2,2,0
('IsBadWritePtr'; 'OpenProcess'),49,21,28
('IsBadWritePtr'; 'RegQueryValueW'),54,33,21
('LocalAlloc'; 'GetModuleFileNameW'),55,31,24
('GlobalLock'; 'GetFullPathNameW'),33,33,0
('RegOpenKeyExA'; 'GetEnvironmentVariableW'),65,37,28
('GetEnvironmentVariableW'; 'RegCreateKeyExW'),55,31,24
('RegOpenKeyExW'; 'LoadLibraryW'),101,65,36
('IsBadWritePtr'; 'GlobalAlloc'),54,35,19
('RegQueryValueExW'; 'HeapFree'),8,0,8
('LocalFree'; 'GetProcAddress'),62,34,28
('SetThreadPriority'; 'RegSetValueExW'),0,0,0
('IsBadStringPtrW'; 'RegQueryValueExW'),46,29,17
('IsBadStringPtrW'; 'GlobalAlloc'),50,33,17
('RegSetValueExW'; 'GetLongPathNameW'),34,34,0
('LoadLibraryExW'; 'LocalAlloc'),3,0,3
('GlobalReAlloc'; 'RegQueryValueExW'),0,0,0
('GlobalUnlock'; 'RegSetValueExW'),14,0,14
('RegOpenKeyExW'; 'GlobalLock'),62,34,28
('HeapFree'; 'HeapFree'),0,0,0
('GetCurrentProcessId'; 'RegEnumValueW'),63,37,26
('GlobalUnlock'; 'GlobalUnlock'),0,0,0
('GetCurrentThread'; 'LocalAlloc'),1,0,1
('RegQueryValueExW'; 'GlobalLock'),62,34,28
('RegOpenKeyExA'; 'RegEnumValueW'),96,63,33
('GlobalAlloc'; 'RegEnumKeyW'),60,33,27
('GetProcAddress'; 'RegOpenKeyExA'),35,27,8
('RegCloseKey'; 'GetModuleFileNameW'),54,31,23
('LocalAlloc'; 'RegCreateKeyExW'),60,32,28
('LocalAlloc'; 'GlobalSize'),62,34,28
('HeapFree'; 'GlobalLock'),62,34,28
('RegEnumValueW'; 'GetCurrentThreadId'),0,0,0
('GetLongPathNameW'; 'LocalFree'),0,0,0
('IsBadWritePtr'; 'GlobalUnlock'),53,34,19
('CreateProcessW'; 'OpenProcess'),49,21,28
('RegCloseKey'; 'LoadLibraryExW'),58,35,23
('IsBadReadPtr'; 'GetCurrentProcessId'),63,35,28
('GlobalUnlock'; 'GlobalFree'),62,34,28
('GetEnvironmentVariableW'; 'IsBadStringPtrW'),4,3,1
('IsBadReadPtr'; 'IsBadReadPtr'),0,0,0
('HeapAlloc'; 'GetCurrentThreadId'),63,36,27
('LoadLibraryA'; 'RegOpenKeyExW'),6,4,2
('GlobalFree'; 'HeapFree'),0,0,0
('RegQueryValueW'; 'RegSetValueExW'),18,2,16
('SetThreadPriority'; 'RegOpenKeyExA'),0,0,0
('IsBadWritePtr'; 'GlobalFree'),60,35,25
('RegQueryValueW'; 'GlobalUnlock'),57,33,24
('LocalFree'; 'RegQueryValueW'),59,33,26
('LocalFree'; 'OpenProcess'),50,22,28
('GlobalReAlloc'; 'RegQueryValueW'),0,0,0
('GlobalUnlock'; 'RegOpenKeyExA'),0,0,0
('RegEnumValueW'; 'GetEnvironmentVariableW'),60,33,27
('CreateProcessW'; 'RegSetValueExW'),4,0,4
('GetCurrentThreadId'; 'RegOpenKeyExW'),11,5,6
