RegOpenKeyExW
LoadLibraryA
RegOpenKeyExA
LocalAlloc
HeapAlloc
HeapFree
IsBadReadPtr
IsBadWritePtr
LocalFree
RegQueryValueExW
RegCloseKey
GetCurrentThread
GetCurrentThreadId
IsBadStringPtrW
GetCurrentProcessId
RegEnumValueW
RegEnumValueW, RegOpenKeyExA
RegOpenKeyExA, RegCloseKey
HeapFree, LoadLibraryA
RegQueryValueExW, LocalAlloc
RegOpenKeyExW, GetCurrentThreadId
HeapAlloc, RegCloseKey
IsBadReadPtr, LocalFree
IsBadReadPtr, IsBadStringPtrW
IsBadStringPtrW, IsBadWritePtr
HeapFree, GetCurrentThread
RegCloseKey, RegOpenKeyExW
IsBadWritePtr, LocalFree
HeapAlloc, GetCurrentThreadId
RegQueryValueExW, LoadLibraryA
GetCurrentProcessId, HeapAlloc
IsBadStringPtrW, HeapFree
IsBadStringPtrW, LocalAlloc
HeapFree, RegCloseKey
LoadLibraryA, RegCloseKey
LocalAlloc, LocalAlloc
RegOpenKeyExW, LocalFree
LocalFree, RegOpenKeyExW
GetCurrentThreadId, RegOpenKeyExA
GetCurrentProcessId, HeapFree
RegEnumValueW, LoadLibraryA
GetCurrentProcessId, LocalAlloc
RegOpenKeyExA, LocalFree
RegCloseKey, RegQueryValueExW
GetCurrentThread, GetCurrentThreadId
RegQueryValueExW, RegCloseKey
HeapAlloc, LocalFree
LocalAlloc, LoadLibraryA
GetCurrentThreadId, GetCurrentProcessId
RegOpenKeyExA, HeapAlloc
LocalFree, RegQueryValueExW
LocalAlloc, GetCurrentThread
GetCurrentThreadId, IsBadStringPtrW
IsBadStringPtrW, RegCloseKey
LocalAlloc, RegCloseKey
HeapFree, HeapAlloc
LoadLibraryA, HeapAlloc
HeapFree, IsBadWritePtr
GetCurrentProcessId, RegCloseKey
IsBadStringPtrW, GetCurrentThreadId
IsBadWritePtr, GetCurrentThreadId
HeapFree, HeapFree
RegEnumValueW, RegEnumValueW
LoadLibraryA, HeapFree
RegQueryValueExW, HeapAlloc
LocalFree, LocalAlloc
GetCurrentProcessId, GetCurrentThreadId
RegQueryValueExW, IsBadWritePtr
RegCloseKey, LoadLibraryA
RegQueryValueExW, HeapFree
GetCurrentThreadId, RegOpenKeyExW
IsBadStringPtrW, LocalFree
IsBadWritePtr, GetCurrentProcessId
RegCloseKey, GetCurrentThread
RegOpenKeyExW, RegOpenKeyExA
LocalFree, LoadLibraryA
RegEnumValueW, HeapAlloc
IsBadStringPtrW, HeapAlloc
LocalAlloc, HeapAlloc
GetCurrentProcessId, LocalFree
RegOpenKeyExA, GetCurrentThreadId
LocalAlloc, IsBadWritePtr
RegOpenKeyExW, GetCurrentProcessId
LocalFree, GetCurrentThread
HeapAlloc, RegOpenKeyExA
IsBadWritePtr, IsBadStringPtrW
RegEnumValueW, HeapFree
RegEnumValueW, LocalAlloc
RegOpenKeyExW, IsBadReadPtr
GetCurrentThreadId, RegQueryValueExW
GetCurrentThreadId, RegEnumValueW
RegOpenKeyExA, GetCurrentProcessId
LocalAlloc, HeapFree
HeapAlloc, GetCurrentProcessId
RegOpenKeyExW, IsBadStringPtrW
RegOpenKeyExA, IsBadReadPtr
HeapAlloc, IsBadReadPtr
HeapFree, GetCurrentThreadId
RegCloseKey, RegEnumValueW
LoadLibraryA, GetCurrentThreadId
RegOpenKeyExA, IsBadStringPtrW
HeapAlloc, IsBadStringPtrW
RegQueryValueExW, GetCurrentThreadId
HeapFree, IsBadReadPtr
RegEnumValueW, RegCloseKey
RegCloseKey, HeapAlloc
HeapFree, LocalFree
GetCurrentThreadId, LocalAlloc
RegCloseKey, IsBadWritePtr
LoadLibraryA, LocalFree
IsBadReadPtr, RegQueryValueExW
RegOpenKeyExW, RegOpenKeyExW
RegQueryValueExW, IsBadReadPtr
RegEnumValueW, GetCurrentThreadId
RegCloseKey, HeapFree
LocalFree, HeapAlloc
RegCloseKey, LocalAlloc
RegQueryValueExW, LocalFree
GetCurrentThreadId, LoadLibraryA
LocalAlloc, GetCurrentThreadId
IsBadWritePtr, RegQueryValueExW
HeapAlloc, RegOpenKeyExW
LocalFree, HeapFree
IsBadStringPtrW, GetCurrentProcessId
GetCurrentProcessId, RegOpenKeyExA
GetCurrentThreadId, GetCurrentThread
RegOpenKeyExW, RegQueryValueExW
IsBadStringPtrW, IsBadReadPtr
RegEnumValueW, LocalFree
LocalAlloc, IsBadReadPtr
GetCurrentThreadId, RegCloseKey
GetCurrentProcessId, GetCurrentProcessId
LocalAlloc, LocalFree
RegOpenKeyExA, RegQueryValueExW
IsBadStringPtrW, IsBadStringPtrW
IsBadReadPtr, LocalAlloc
HeapAlloc, RegQueryValueExW
RegCloseKey, RegCloseKey
RegOpenKeyExA, RegOpenKeyExA
RegCloseKey, GetCurrentThreadId
LocalFree, RegCloseKey
HeapFree, RegOpenKeyExA
LoadLibraryA, RegOpenKeyExA
