('RegSetValueExW'; 'RegEnumValueW'),250,221,29
Pattern_Name,Total_Unique_Count,Malicious_Unique_Count,Beneign_Unique_Count
('SetThreadPriority';),148,119,29
('OpenProcess';),142,113,29
('ReadFile';),110,110,0
('GetFileAttributesW';),219,219,0
('GetFullPathNameW';),215,215,0
('GetLongPathNameW';),213,213,0
('GetLongPathNameW'; 'RegQueryValueExW'),208,208,0
('GlobalReAlloc'; 'RegCreateKeyExW'),162,133,29
('GetFileAttributesW'; 'RegSetValueExW'),219,219,0
('GetLongPathNameW'; 'HeapAlloc'),213,213,0
('SetThreadPriority'; 'HeapFree'),148,119,29
('GetLongPathNameW'; 'RegCloseKey'),213,213,0
('GetFileAttributesW'; 'LocalAlloc'),219,219,0
('GlobalLock'; 'OpenProcess'),142,113,29
('RegOpenKeyExA'; 'GetFullPathNameW'),214,214,0
('OpenProcess'; 'SetThreadPriority'),141,112,29
('OpenProcess'; 'RegOpenKeyExW'),142,113,29
('RegOpenKeyExA'; 'GetFileAttributesW'),219,219,0
('GetCurrentThreadId'; 'GetFileAttributesW'),219,219,0
('GlobalReAlloc'; 'GetLongPathNameW'),210,210,0
('SetThreadPriority'; 'SetThreadPriority'),140,112,28
('LocalFree'; 'GetFullPathNameW'),215,215,0
('GetFullPathNameW'; 'IsBadWritePtr'),214,214,0
('GetLongPathNameW'; 'HeapFree'),213,213,0
('GlobalLock'; 'GetProcAddress'),142,116,26
('LocalFree'; 'GetFileAttributesW'),219,219,0
('GetFullPathNameW'; 'IsBadReadPtr'),214,214,0
('GetCurrentThreadId'; 'GetLongPathNameW'),213,213,0
('GetCurrentThread'; 'GetLongPathNameW'),213,213,0
('GlobalSize'; 'OpenProcess'),142,113,29
('GlobalLock'; 'GetFullPathNameW'),210,210,0
('SetThreadPriority'; 'RegCreateKeyExW'),147,119,28
('RegEnumKeyW'; 'RegCreateKeyExW'),164,135,29
('GetFileAttributesW'; 'LoadLibraryA'),215,215,0
('LoadLibraryExW'; 'GetLongPathNameW'),204,204,0
('RegOpenKeyExW'; 'SetThreadPriority'),147,118,29
('HeapAlloc'; 'GetFullPathNameW'),215,215,0
('GetLongPathNameW'; 'GetCurrentProcessId'),211,211,0
('HeapAlloc'; 'GetFileAttributesW'),219,219,0
('HeapFree'; 'GetLongPathNameW'),213,213,0
('RegEnumKeyW'; 'GetLongPathNameW'),212,212,0
('GlobalUnlock'; 'GetFullPathNameW'),210,210,0
('HeapAlloc'; 'GetLongPathNameW'),213,213,0
('GlobalUnlock'; 'GetFileAttributesW'),211,211,0
('SetThreadPriority'; 'RegOpenKeyExA'),142,115,27
('RegOpenKeyExW'; 'OpenProcess'),142,113,29
('HeapFree'; 'SetThreadPriority'),147,118,29
('GetCurrentProcessId'; 'OpenProcess'),142,113,29
('GetFileAttributesW'; 'RegEnumValueW'),219,219,0
('GetFullPathNameW'; 'GetFullPathNameW'),211,211,0
('GetFullPathNameW'; 'RegSetValueExW'),212,212,0
('GlobalUnlock'; 'GetLongPathNameW'),210,210,0
('RegQueryValueExW'; 'OpenProcess'),142,113,29
('GlobalReAlloc'; 'SetThreadPriority'),147,118,29
('GlobalAlloc'; 'OpenProcess'),142,113,29
('GetLongPathNameW'; 'RegOpenKeyExA'),207,207,0
('SetThreadPriority'; 'IsBadStringPtrW'),141,113,28
('SetThreadPriority'; 'LocalFree'),148,119,29
('SetThreadPriority'; 'GetCurrentThread'),147,119,28
('GetCurrentThreadId'; 'SetThreadPriority'),148,119,29
('OpenProcess'; 'RegOpenKeyExA'),137,109,28
('GetCurrentThread'; 'SetThreadPriority'),148,119,29
('GetFullPathNameW'; 'GlobalUnlock'),208,208,0
('RegOpenKeyExW'; 'GetFullPathNameW'),215,215,0
('GetFileAttributesW'; 'RegCloseKey'),219,219,0
('GetLongPathNameW'; 'IsBadStringPtrW'),212,212,0
('RegQueryValueW'; 'GetProcAddress'),142,116,26
('GetEnvironmentVariableW'; 'GetFullPathNameW'),214,214,0
('GlobalReAlloc'; 'OpenProcess'),142,113,29
('CreateProcessW'; 'GetLongPathNameW'),211,211,0
('GetLongPathNameW'; 'GetCurrentThread'),208,208,0
('GetEnvironmentVariableW'; 'GetFileAttributesW'),219,219,0
('OpenProcess'; 'IsBadStringPtrW'),141,113,28
('OpenProcess'; 'LocalFree'),142,113,29
('GetCurrentThreadId'; 'OpenProcess'),142,113,29
('SetThreadPriority'; 'IsBadWritePtr'),147,119,28
('SetThreadPriority'; 'RegOpenKeyExW'),148,119,29
('GetFileAttributesW'; 'HeapFree'),219,219,0
('RegEnumKeyW'; 'SetThreadPriority'),147,118,29
('GetEnvironmentVariableW'; 'GetLongPathNameW'),213,213,0
('SetThreadPriority'; 'IsBadReadPtr'),147,119,28
('GlobalReAlloc'; 'GetFullPathNameW'),210,210,0
('GetLongPathNameW'; 'GlobalFree'),210,210,0
('GetLongPathNameW'; 'RegOpenKeyExW'),209,209,0
('GlobalReAlloc'; 'GetFileAttributesW'),210,210,0
('GlobalUnlock'; 'SetThreadPriority'),147,118,29
('GetCurrentThreadId'; 'GetFullPathNameW'),215,215,0
('HeapFree'; 'OpenProcess'),142,113,29
('RegEnumKeyW'; 'OpenProcess'),142,113,29
('OpenProcess'; 'IsBadWritePtr'),142,113,29
('LoadLibraryA'; 'GlobalFree'),130,103,27
('GetFileAttributesW'; 'GetCurrentProcessId'),216,216,0
('GetCurrentThread'; 'GetFullPathNameW'),214,214,0
('GetFullPathNameW'; 'CreateProcessW'),210,210,0
('OpenProcess'; 'IsBadReadPtr'),141,113,28
('GetCurrentThread'; 'GetFileAttributesW'),219,219,0
('HeapAlloc'; 'OpenProcess'),142,113,29
('GetFileAttributesW'; 'LoadLibraryExW'),208,208,0
('GlobalUnlock'; 'OpenProcess'),142,113,29
('GetFileAttributesW'; 'GetLongPathNameW'),213,213,0
('HeapFree'; 'GetFullPathNameW'),215,215,0
('GetFullPathNameW'; 'RegQueryValueExW'),214,214,0
('RegEnumKeyW'; 'GetFullPathNameW'),212,212,0
('CreateProcessW'; 'SetThreadPriority'),147,118,29
('GlobalFree'; 'RegCreateKeyExW'),161,132,29
('HeapFree'; 'GetFileAttributesW'),219,219,0
('GetFullPathNameW'; 'HeapAlloc'),215,215,0
('RegEnumKeyW'; 'GetFileAttributesW'),214,214,0
('GlobalUnlock'; 'GetProcAddress'),142,116,26
('GetFileAttributesW'; 'RegOpenKeyExA'),219,219,0
('OpenProcess'; 'GetCurrentThreadId'),139,110,29
('GetEnvironmentVariableW'; 'SetThreadPriority'),147,118,29
('GlobalLock'; 'RegCreateKeyExW'),162,133,29
('RegOpenKeyExA'; 'ReadFile'),110,110,0
('RegSetValueExW'; 'GetFileAttributesW'),219,219,0
('GetFullPathNameW'; 'GetCurrentThreadId'),214,214,0
('CreateProcessW'; 'OpenProcess'),142,113,29
('OpenProcess'; 'RegSetValueExW'),141,113,28
('GetFileAttributesW'; 'IsBadStringPtrW'),213,213,0
('GetFileAttributesW'; 'LocalFree'),219,219,0
('RegSetValueExW'; 'GetLongPathNameW'),213,213,0
('GetProcAddress'; 'GetProcAddress'),112,89,23
('GetFileAttributesW'; 'GetCurrentThread'),219,219,0
('RegCloseKey'; 'SetThreadPriority'),147,118,29
('OpenProcess'; 'LocalAlloc'),142,113,29
('IsBadWritePtr'; 'SetThreadPriority'),147,118,29
('GetEnvironmentVariableW'; 'OpenProcess'),142,113,29
('GlobalSize'; 'RegCreateKeyExW'),160,131,29
('IsBadReadPtr'; 'GetLongPathNameW'),213,213,0
('GetFullPathNameW'; 'LocalAlloc'),214,214,0
('IsBadStringPtrW'; 'SetThreadPriority'),147,118,29
('GetFullPathNameW'; 'GetCurrentProcessId'),213,213,0
('GetFileAttributesW'; 'GlobalFree'),216,216,0
('GetFileAttributesW'; 'IsBadWritePtr'),215,215,0
('GetFileAttributesW'; 'RegOpenKeyExW'),219,219,0
('RegEnumValueW'; 'GetLongPathNameW'),213,213,0
('GetLongPathNameW'; 'LocalFree'),213,213,0
('OpenProcess'; 'LoadLibraryA'),134,107,27
('GetFileAttributesW'; 'IsBadReadPtr'),216,216,0
('LocalAlloc'; 'GetFileAttributesW'),219,219,0
('GetFullPathNameW'; 'LoadLibraryA'),210,210,0
('LocalAlloc'; 'GetLongPathNameW'),213,213,0
('GlobalReAlloc'; 'GetProcAddress'),141,115,26
('GetCurrentThread'; 'OpenProcess'),142,113,29
('RegCloseKey'; 'GetFullPathNameW'),215,215,0
('IsBadWritePtr'; 'GetFullPathNameW'),215,215,0
('RegCloseKey'; 'GetFileAttributesW'),219,219,0
('IsBadWritePtr'; 'GetFileAttributesW'),217,217,0
('SetThreadPriority'; 'RegQueryValueExW'),144,115,29
('RegQueryValueW'; 'RegCreateKeyExW'),163,134,29
